date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:30%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/95akmeqq/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/95akmeqq/8hrt7.css	(from https://kingsclub.in/)
11:23:32	57726/57726	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/95akmeqq/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/95akmeqq/8hrt7.css	(from https://kingsclub.in/)
11:23:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:30%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/e738km3s/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/e738km3s/8hrt7.css	(from https://kingsclub.in/)
11:23:33	873/873	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/e738km3s/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/e738km3s/8hrt7.css	(from https://kingsclub.in/)
11:23:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:30%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/fokn9o1x/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/fokn9o1x/8hrt7.css	(from https://kingsclub.in/)
11:23:33	879/879	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/fokn9o1x/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/fokn9o1x/8hrt7.css	(from https://kingsclub.in/)
11:23:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:31%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/1rpv5tln/8hrt7.js	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/1rpv5tln/8hrt7.js	(from https://kingsclub.in/)
11:23:34	101080/101080	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/1rpv5tln/8hrt7.js	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/1rpv5tln/8hrt7.js	(from https://kingsclub.in/)
11:23:37	952032/952032	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Nov%202023%2005:53:33%20GMT	https://kingsclub.in/wp-json/	D:/club/kingsclub.in/wp-json/index.html	(from https://kingsclub.in/)
11:23:37	130965/130965	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Nov%202023%2005:53:34%20GMT	https://kingsclub.in/wp-json/wp/v2/pages/294	D:/club/kingsclub.in/wp-json/wp/v2/pages/294.json	(from https://kingsclub.in/)
